i	r(m)		T(K)		rho(kg*m^-3)	kappa(m^2/kg)	

0	7.100764e+08	0.000000e+00	0.000000e+00	0.000000e+00	
1	7.093244e+08	3.379636e+03	2.163524e-08	2.480119e+01	
2	7.092541e+08	3.573309e+03	3.028525e-08	2.672381e+01	
3	7.091783e+08	3.826212e+03	4.206871e-08	2.737703e+01	
4	7.090959e+08	4.133144e+03	5.814973e-08	2.708765e+01	
5	7.090062e+08	4.488020e+03	8.015188e-08	2.625565e+01	
6	7.089085e+08	4.887027e+03	1.103146e-07	2.517004e+01	
7	7.088019e+08	5.329075e+03	1.517126e-07	2.399474e+01	
8	7.086856e+08	5.815187e+03	2.085648e-07	2.281158e+01	
9	7.085588e+08	6.347784e+03	2.866621e-07	2.165611e+01	
10	7.084205e+08	6.930293e+03	3.939580e-07	2.054686e+01	
11	7.082697e+08	7.568856e+03	5.413734e-07	1.948823e+01	
12	7.081052e+08	8.262201e+03	7.439096e-07	1.848131e+01	
13	7.079259e+08	9.021603e+03	1.022171e-06	1.752513e+01	
14	7.077303e+08	9.850881e+03	1.404459e-06	1.661785e+01	
15	7.075169e+08	1.075642e+04	1.929644e-06	1.575731e+01	
16	7.072843e+08	1.174520e+04	2.651111e-06	1.494128e+01	
17	7.070306e+08	1.282486e+04	3.642174e-06	1.416754e+01	
18	7.067540e+08	1.400375e+04	5.003513e-06	1.343396e+01	
19	7.064524e+08	1.529096e+04	6.873380e-06	1.273849e+01	
20	7.061235e+08	1.669643e+04	9.441600e-06	1.207917e+01	
21	7.057649e+08	1.823102e+04	1.296880e-05	1.145414e+01	
22	7.053741e+08	1.990656e+04	1.781279e-05	1.086165e+01	
23	7.049480e+08	2.173599e+04	2.446473e-05	1.030001e+01	
24	7.044836e+08	2.373341e+04	3.359882e-05	9.767631e+00	
25	7.039774e+08	2.591421e+04	4.614038e-05	9.263005e+00	
26	7.034259e+08	2.829519e+04	6.335925e-05	8.784696e+00	
27	7.028250e+08	3.089468e+04	8.699788e-05	8.331344e+00	
28	7.021704e+08	3.372366e+04	1.194469e-04	7.901659e+00	
29	7.014574e+08	3.683096e+04	1.639859e-04	7.494416e+00	
30	7.006810e+08	4.021337e+04	2.251132e-04	7.108452e+00	
31	6.998356e+08	4.390583e+04	3.089976e-04	6.742665e+00	
32	6.989155e+08	4.793666e+04	4.240980e-04	6.396010e+00	
33	6.979141e+08	5.233670e+04	5.820105e-04	6.067495e+00	
34	6.968247e+08	5.713961e+04	7.986295e-04	5.756179e+00	
35	6.956399e+08	6.238205e+04	1.095736e-03	5.461170e+00	
36	6.943518e+08	6.810401e+04	1.503169e-03	5.181621e+00	
37	6.929517e+08	7.434904e+04	2.061803e-03	4.916730e+00	
38	6.914307e+08	8.116461e+04	2.927602e-03	4.665735e+00	
39	6.897790e+08	8.860239e+04	3.977181e-03	4.427914e+00	
40	6.879861e+08	9.671869e+04	5.315384e-03	4.202584e+00	
41	6.860411e+08	1.055748e+05	7.285639e-03	3.989094e+00	
